City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,gaspe,48.8334,-64.4819,-1.05,93,75,2.06,CA,2023-12-13
332,lata,40.1629,-8.3327,13.93,78,34,4.72,PT,2023-12-13
333,haciqabul,40.0408,48.9445,5.45,87,100,7.9,AZ,2023-12-13
334,koster,-25.863,26.8976,30.56,18,9,5.58,ZA,2023-12-13
335,dawei,14.0833,98.2,25.12,87,9,1.43,MM,2023-12-13
336,chulakkurgan,43.765,69.1814,-14.1,85,94,8.26,KZ,2023-12-13
337,naryshkino,52.9678,35.7268,-7.14,94,100,6.11,RU,2023-12-13
338,tazacorte,28.629,-17.9293,24.53,39,10,4.92,ES,2023-12-13
339,santa terezinha,-29.9002,-50.0904,25.2,69,0,5.39,BR,2023-12-13
340,cururupu,-1.8283,-44.8683,31.42,58,21,3.76,BR,2023-12-13
